epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5180.24,0.62581,0.61298,1.00761,0.70866,0.77054,0.77353,0.59384,0.90636,0.83064,0.94532,0.000643101,0.000643101,0.000643101
43,5304.85,0.62525,0.59306,1.00303,0.73388,0.74199,0.75456,0.57812,0.94214,0.8315,0.99288,0.000628101,0.000628101,0.000628101
44,5425.16,0.6253,0.59184,1.00515,0.75007,0.74132,0.76041,0.58112,0.92678,0.84464,0.97133,0.000612981,0.000612981,0.000612981
45,5545.12,0.628,0.5895,1.00278,0.76778,0.59393,0.76687,0.57882,0.95407,1.17004,0.98384,0.000597754,0.000597754,0.000597754
46,5662.45,0.60818,0.59532,0.99793,0.74913,0.76865,0.78849,0.60441,0.93535,0.80502,0.97211,0.000582435,0.000582435,0.000582435
47,5783.57,0.60493,0.56575,0.99637,0.70664,0.79153,0.77566,0.6012,0.90246,0.78374,0.95454,0.00056704,0.00056704,0.00056704
48,5901.8,0.58928,0.56209,0.98503,0.62802,0.74959,0.73261,0.55688,0.90265,1.75685,0.96339,0.000551584,0.000551584,0.000551584
49,6019.29,0.596,0.60492,0.99771,0.75355,0.79331,0.80405,0.61653,0.91274,0.77956,0.96989,0.000536081,0.000536081,0.000536081
50,6138.01,0.60118,0.5434,0.98387,0.75022,0.78925,0.80545,0.61088,0.96014,0.77402,0.99255,0.000520548,0.000520548,0.000520548
51,6261.15,0.59391,0.56069,0.98488,0.69781,0.7843,0.77847,0.6006,0.90406,0.84863,0.96222,0.000505,0.000505,0.000505
52,6383.21,0.58897,0.5446,0.98342,0.76114,0.78609,0.79775,0.60992,0.93357,0.79221,0.9782,0.000489452,0.000489452,0.000489452
53,6500.37,0.58086,0.54058,0.98209,0.76474,0.79081,0.79739,0.6139,0.90678,0.78676,0.95963,0.000473919,0.000473919,0.000473919
54,6621.17,0.58043,0.52748,0.97796,0.77745,0.79638,0.80706,0.60789,0.90564,0.75987,0.96743,0.000458416,0.000458416,0.000458416
55,6740.05,0.57067,0.50775,0.97377,0.78827,0.77803,0.80523,0.6239,0.90289,0.7675,0.94633,0.00044296,0.00044296,0.00044296
56,6860.12,0.55643,0.4946,0.97195,0.73421,0.82471,0.81404,0.62365,0.87795,0.74208,0.93466,0.000427565,0.000427565,0.000427565
57,6982.43,0.56212,0.50576,0.96721,0.77356,0.8059,0.80691,0.61576,0.88763,0.72507,0.94993,0.000412246,0.000412246,0.000412246
58,7100.12,0.58698,0.52886,0.97831,0.75541,0.79866,0.81631,0.62714,0.88436,0.74996,0.92882,0.000397019,0.000397019,0.000397019
59,7219.74,0.5885,0.51878,0.97657,0.80027,0.79239,0.81996,0.62688,0.88696,0.71819,0.94638,0.000381899,0.000381899,0.000381899
